coach,team,season,should_go,shouldnt_go,pct,epa,count,z_wins,z_should,z_shouldnt,z_epa,above_mean_wins,above_mean_should,above_mean_shouldnt,above_mean_epa
Mike Tomlin,PIT,2016,0,1,0.6875,0.10521278109111314,7,0.9782883159779909,-1.8011995406165022,0.49297150027201964,0.7550758639455412,1,0,1,1
Mike Tomlin,PIT,2017,0.2857142857142857,1,0.8125,0.04928748780051373,22,1.6314538564908163,-0.5216414054316193,0.49297150027201964,0.43362293623199705,1,0,1,1
Mike Tomlin,PIT,2018,0.5,0.9230769230769231,0.59375,-0.16602080293653926,23,0.48841416059337195,0.43802719595704304,-0.6016068366720464,-0.8039473355730595,1,1,0,0
Mike Tomlin,PIT,2019,0.5,1,0.5,-0.30092253477939973,29,-0.00145999479124701,0.43802719595704304,0.49297150027201964,-1.5793488418143182,0,1,1,0
Mike Tomlin,PIT,2020,0.5,1,0.75,0.05287363942680576,13,1.3048710862344035,0.43802719595704304,0.49297150027201964,0.4542357729587744,1,1,1,1
Mike Tomlin,PIT,2021,0.09090909090909091,0.9166666666666666,0.5588235294117647,-0.016072442667395007,23,0.305912024273612,-1.3940674066940393,-0.6928216980840533,0.057940668552328635,1,0,0,1
Mike Tomlin,PIT,2022,0.3333333333333333,1,0.5294117647058824,-0.05195194845810326,20,0.1522260147411825,-0.30838171623413885,0.49297150027201964,-0.14829110070111803,1,0,1,0
Mike Vrabel,TEN,2018,0.2857142857142857,1,0.5625,-0.02350993514097722,17,0.32512277546516566,-0.5216414054316193,0.49297150027201964,0.015190714286423596,1,0,1,1
Mike Vrabel,TEN,2019,0.16666666666666666,0.8571428571428571,0.5625,-0.23762439650807932,19,0.32512277546516566,-1.0547906284253206,-1.5398168397669623,-1.2155175470832646,1,0,0,0
Mike Vrabel,TEN,2020,0.3,0.8333333333333334,0.6875,-0.04765710331352924,16,0.9782883159779909,-0.45766349867237516,-1.8786148964401246,-0.12360476533179264,1,0,0,0
